width,depth,one_gates,two_gates,Dp1,Dp2,Dp3,P,O,F,S,ideal_prob
4.0,40.0,59.0,2.0,0.086,0.104,0.129,0.291,0.411,0.709,0.0,0.286
4.0,40.0,59.0,2.0,0.086,0.104,0.129,0.077,0.083,0.923,2.0,0.076
4.0,40.0,59.0,2.0,0.086,0.104,0.129,0.499,0.996,0.501,1.0,0.502
4.0,40.0,59.0,2.0,0.086,0.104,0.129,0.133,0.154,0.867,1.0,0.135
6.0,112.0,166.0,12.0,0.178,0.247,0.254,0.234,0.306,0.766,2.0,0.244
6.0,112.0,166.0,12.0,0.178,0.247,0.254,0.236,0.309,0.764,1.0,0.234
6.0,112.0,166.0,12.0,0.178,0.247,0.254,0.039,0.04,0.961,0.0,0.021
6.0,112.0,166.0,12.0,0.178,0.247,0.254,0.246,0.326,0.754,1.0,0.266
6.0,112.0,166.0,12.0,0.178,0.247,0.254,0.075,0.081,0.925,1.0,0.068
6.0,112.0,166.0,12.0,0.178,0.247,0.254,0.075,0.081,0.925,2.0,0.087
6.0,112.0,166.0,12.0,0.178,0.247,0.254,0.083,0.091,0.917,3.0,0.075
6.0,112.0,166.0,12.0,0.178,0.247,0.254,0.012,0.012,0.988,2.0,0.005
8.0,178.0,296.0,33.0,0.2,0.257,0.375,0.021,0.022,0.979,2.0,0.013
8.0,178.0,296.0,33.0,0.2,0.257,0.375,0.219,0.281,0.781,3.0,0.234
8.0,178.0,296.0,33.0,0.2,0.257,0.375,0.026,0.027,0.974,0.0,0.016
8.0,178.0,296.0,33.0,0.2,0.257,0.375,0.21,0.267,0.79,1.0,0.26
8.0,178.0,296.0,33.0,0.2,0.257,0.375,0.174,0.211,0.826,4.0,0.206
8.0,178.0,296.0,33.0,0.2,0.257,0.375,0.019,0.019,0.981,1.0,0.01
8.0,178.0,296.0,33.0,0.2,0.257,0.375,0.175,0.212,0.825,2.0,0.203
8.0,178.0,296.0,33.0,0.2,0.257,0.375,0.028,0.029,0.972,3.0,0.004
8.0,178.0,296.0,33.0,0.2,0.257,0.375,0.022,0.022,0.978,3.0,0.008
8.0,178.0,296.0,33.0,0.2,0.257,0.375,0.016,0.016,0.984,2.0,0.002
8.0,178.0,296.0,33.0,0.2,0.257,0.375,0.017,0.017,0.983,2.0,0.008
8.0,178.0,296.0,33.0,0.2,0.257,0.375,0.022,0.023,0.978,3.0,0.017
8.0,178.0,296.0,33.0,0.2,0.257,0.375,0.018,0.018,0.982,1.0,0.01
8.0,178.0,296.0,33.0,0.2,0.257,0.375,0.009,0.009,0.991,1.0,-1.0
8.0,178.0,296.0,33.0,0.2,0.257,0.375,0.021,0.021,0.979,2.0,0.002
8.0,178.0,296.0,33.0,0.2,0.257,0.375,0.002,0.002,0.998,2.0,0.007
10.0,338.0,635.0,68.0,0.265,0.328,0.523,0.049,0.051,0.951,3.0,0.06
10.0,338.0,635.0,68.0,0.265,0.328,0.523,0.047,0.049,0.953,2.0,0.063
10.0,338.0,635.0,68.0,0.265,0.328,0.523,0.134,0.155,0.866,2.0,0.192
10.0,338.0,635.0,68.0,0.265,0.328,0.523,0.144,0.168,0.856,4.0,0.163
10.0,338.0,635.0,68.0,0.265,0.328,0.523,0.11,0.124,0.89,3.0,0.145
10.0,338.0,635.0,68.0,0.265,0.328,0.523,0.02,0.02,0.98,2.0,0.014
10.0,338.0,635.0,68.0,0.265,0.328,0.523,0.017,0.017,0.983,3.0,0.001
10.0,338.0,635.0,68.0,0.265,0.328,0.523,0.101,0.112,0.899,1.0,0.142
10.0,338.0,635.0,68.0,0.265,0.328,0.523,0.039,0.041,0.961,4.0,0.039
10.0,338.0,635.0,68.0,0.265,0.328,0.523,0.023,0.023,0.977,2.0,0.021
10.0,338.0,635.0,68.0,0.265,0.328,0.523,0.016,0.016,0.984,4.0,0.007
10.0,338.0,635.0,68.0,0.265,0.328,0.523,0.011,0.011,0.989,2.0,0.006
10.0,338.0,635.0,68.0,0.265,0.328,0.523,0.024,0.025,0.976,1.0,0.014
10.0,338.0,635.0,68.0,0.265,0.328,0.523,0.038,0.039,0.962,3.0,0.035
10.0,338.0,635.0,68.0,0.265,0.328,0.523,0.01,0.01,0.99,3.0,0.006
10.0,338.0,635.0,68.0,0.265,0.328,0.523,0.005,0.005,0.995,3.0,-1.0
10.0,338.0,635.0,68.0,0.265,0.328,0.523,0.02,0.02,0.98,3.0,0.001
10.0,338.0,635.0,68.0,0.265,0.328,0.523,0.009,0.009,0.991,4.0,0.001
10.0,338.0,635.0,68.0,0.265,0.328,0.523,0.007,0.007,0.993,3.0,0.004
10.0,338.0,635.0,68.0,0.265,0.328,0.523,0.015,0.015,0.985,2.0,0.008
10.0,338.0,635.0,68.0,0.265,0.328,0.523,0.023,0.024,0.977,2.0,0.004
10.0,338.0,635.0,68.0,0.265,0.328,0.523,0.022,0.022,0.978,5.0,0.026
10.0,338.0,635.0,68.0,0.265,0.328,0.523,0.008,0.008,0.992,2.0,0.002
10.0,338.0,635.0,68.0,0.265,0.328,0.523,0.017,0.017,0.983,2.0,0.006
10.0,338.0,635.0,68.0,0.265,0.328,0.523,0.006,0.006,0.994,4.0,-1.0
10.0,338.0,635.0,68.0,0.265,0.328,0.523,0.017,0.017,0.983,3.0,0.007
10.0,338.0,635.0,68.0,0.265,0.328,0.523,0.015,0.015,0.985,3.0,0.004
10.0,338.0,635.0,68.0,0.265,0.328,0.523,0.013,0.013,0.987,1.0,0.016
10.0,338.0,635.0,68.0,0.265,0.328,0.523,0.011,0.011,0.989,0.0,0.004
10.0,338.0,635.0,68.0,0.265,0.328,0.523,0.009,0.009,0.991,2.0,0.002
10.0,338.0,635.0,68.0,0.265,0.328,0.523,0.013,0.013,0.987,1.0,0.006
10.0,338.0,635.0,68.0,0.265,0.328,0.523,0.008,0.008,0.992,1.0,0.003
12.0,451.0,919.0,105.0,0.35,0.462,0.634,0.006,0.006,0.994,2.0,0.001
